5 to 17,18 to 64,65+,Native,Foreign born,Naturalized U.S. citizen,Not a U.S. citizen,Below poverty level,At or above poverty level,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree or higher,State,Language
18.5,72.3,9.2,48.9,51.1,20.4,30.6,22.9,77.1,26.8,36.3,21,15.9,Rhode Island,Spanish
16.6,62.5,21,98.7,1.3,0.9,0.4,13.3,86.7,8.9,28,30.8,32.4,South Carolina,Only English
18.6,70.7,10.6,45.8,54.2,24,30.3,16.6,83.4,17.6,24.2,22.8,35.4,South Carolina,Other Language
22.5,69.5,8,53.8,46.2,14.8,31.4,18.8,81.2,24.8,30.2,24.3,20.8,South Carolina,Spanish
18.9,61,20.1,99.1,0.9,0.7,0.2,11.6,88.4,5.6,29.8,32.7,32,South Dakota,Only English
19.5,69,11.5,60.9,39.1,18.7,20.4,18.9,81.1,23,22.4,28.1,26.4,South Dakota,Other Language
21,72.3,6.7,55.9,44.1,13.6,30.5,10.6,89.4,28.1,25.2,28.5,18.2,South Dakota,Spanish
16.6,64.1,19.3,98.7,1.3,0.8,0.5,12.6,87.4,8.6,31.9,28.7,30.8,Tennessee,Only English
22.3,70.5,7.2,41,59,21.9,37.1,16.6,83.4,22.9,23.6,18.4,35,Tennessee,Other Language
25.5,70,4.5,47.1,52.9,10.7,42.3,19.7,80.3,32.9,27.3,17.4,22.4,Tennessee,Spanish
20.5,63.4,16,96.8,3.2,1.8,1.4,11.6,88.4,6.6,24.1,31.6,37.7,Texas,Only English
18.3,70.5,11.2,54.1,45.9,19.3,26.6,17,83,27.1,24.3,21.5,27.1,Texas,Other Language
19.4,69.7,10.9,61.2,38.8,13.5,25.3,18.6,81.4,31.9,27.5,22.6,18,Texas,Spanish
22.7,63.5,13.8,98.1,1.9,1.2,0.8,7.4,92.6,4.3,21.7,34.8,39.2,Utah,Only English
20.2,72.3,7.4,52,48,18.2,29.7,11.5,88.5,21.3,23.4,24,31.3,Utah,Other Language
22.3,71.7,6,54.6,45.4,12.2,33.2,12.1,87.9,26.9,25.8,24.5,22.8,Utah,Spanish
14,63.4,22.6,98,2,1.4,0.7,9.9,90.1,4.8,26.6,24.9,43.6,Vermont,Only English
11.9,65.6,22.5,53.2,46.8,29.8,17,16.4,83.6,8.5,15.2,20.8,55.5,Vermont,Other Language
15.4,72.1,12.5,76.1,23.9,17.3,6.6,6.9,93.1,3.5,13.9,17.1,65.6,Vermont,Spanish
17,63.8,19.2,97.2,2.8,2,0.8,10.1,89.9,7,25,26.7,41.3,Virginia,Only English
15.8,73,11.2,34.9,65.1,36.6,28.5,11.2,88.8,15.5,18.9,19.4,46.2,Virginia,Other Language
19.7,73.3,7,46.8,53.2,21.9,31.3,14.9,85.1,24.9,24.3,22.6,28.2,Virginia,Spanish
16.3,63.9,19.8,96.3,3.7,2.3,1.4,9.5,90.5,5,22,33.7,39.3,Washington,Only English
17.7,72.2,10.2,37.9,62.1,28.6,33.4,11.5,88.5,18.8,19.5,21.4,40.3,Washington,Other Language
23.7,70.4,5.9,54.5,45.5,13,32.5,15,85,34.2,26.2,20.6,19,Washington,Spanish
15.7,61.8,22.5,99.4,0.6,0.5,0.2,17.3,82.7,10.8,38.9,26.1,24.2,West Virginia,Only English
13.1,72.7,14.3,49.8,50.2,26.2,24,17.2,82.8,13.7,18.9,21.6,45.8,West Virginia,Other Language
16.3,75.9,7.8,64.6,35.4,14.6,20.8,16.9,83.1,22.9,26.8,26.6,23.7,West Virginia,Spanish
16.4,62.9,20.7,98.8,1.2,0.8,0.4,10,90,5,30.2,31.6,33.3,Wisconsin,Only English
20.3,70.5,9.3,52.1,47.9,20.7,27.2,16.2,83.8,24.2,22.5,20.6,32.7,Wisconsin,Other Language
24,69.6,6.4,59.6,40.4,10.6,29.8,18.3,81.7,33.1,27.9,20.4,18.6,Wisconsin,Spanish
18,62.2,19.9,99.1,0.9,0.8,0.1,11.7,88.3,5,27.4,37.6,30,Wyoming,Only English
18.7,65.7,15.6,61.9,38.1,13.6,24.6,8.8,91.2,24.1,25.5,27.2,23.2,Wyoming,Other Language
21,64.1,14.9,65.3,34.7,10,24.7,6.8,93.2,29.4,29.9,25.7,15,Wyoming,Spanish
8,53.5,38.6,96.4,3.6,2.2,1.4,37.7,62.3,20.5,27.4,20.8,31.3,Puerto Rico,Only English
13.7,62.8,23.5,97.3,2.7,1.4,1.3,41.2,58.8,18.2,28,24.1,29.8,Puerto Rico,Other Language
13.7,62.8,23.5,97.4,2.6,1.3,1.2,41.3,58.7,18.2,28,24.1,29.7,Puerto Rico,Spanish
